iter	Logloss
0	0.5676528813
1	0.4565010252
2	0.3791020587
3	0.3442993909
4	0.3052075009
5	0.2758487449
6	0.2616987108
7	0.2462724545
8	0.2269819494
9	0.2201698445
10	0.2097206337
11	0.2017291418
12	0.1962711899
13	0.189857789
14	0.1864091254
15	0.1835502169
16	0.1808699282
17	0.1790341596
18	0.1762567347
19	0.1738440748
20	0.1700782932
21	0.168566899
22	0.1661688508
23	0.1642512149
24	0.1632790055
25	0.1620517733
26	0.1611637831
27	0.1595711773
28	0.1587680805
29	0.1583336447
30	0.1578803337
31	0.1569546143
32	0.1557376005
33	0.1543789551
34	0.1531633846
35	0.152684811
36	0.1521274945
37	0.1519003694
38	0.1504446177
39	0.1497685398
40	0.1490230484
41	0.1486357696
42	0.1475193024
43	0.1464124283
44	0.1457138904
45	0.1452968847
46	0.1441415469
47	0.1427663877
48	0.1422759051
49	0.142047363
50	0.1411068049
51	0.140105602
52	0.1397607202
53	0.1390453018
54	0.1386091404
55	0.1382414435
56	0.1374547558
57	0.1370320474
58	0.1365267538
59	0.1356639357
60	0.1354927744
61	0.1349778491
62	0.1341286491
63	0.1335165832
64	0.133010197
65	0.1322836674
66	0.1319612361
67	0.1309125519
68	0.1306227414
69	0.1301626384
70	0.1297317135
71	0.1289587847
72	0.1287992258
73	0.1283078584
74	0.1271537622
75	0.1267654278
76	0.1262358697
77	0.1261863937
78	0.1259526266
79	0.1257106765
80	0.1252546453
81	0.1246429508
82	0.1245530306
83	0.1243768278
84	0.1239803128
85	0.1238403516
86	0.123391552
87	0.1233441049
88	0.1229481199
89	0.122763867
90	0.1225268655
91	0.1224851014
92	0.122098467
93	0.1220590071
94	0.1217034034
95	0.1212944124
96	0.1212571374
97	0.1207499257
98	0.1206412252
99	0.1203793609
