iter	Passed	Remaining
0	142	14093
1	145	7150
2	148	4789
3	150	3613
4	152	2900
5	154	2421
6	156	2085
7	161	1852
8	163	1655
9	165	1487
10	167	1358
11	170	1247
12	172	1153
13	174	1073
14	176	1001
15	178	937
16	180	882
17	200	912
18	202	863
19	205	822
20	208	783
21	210	745
22	212	711
23	214	680
24	216	650
25	220	628
26	223	604
27	225	579
28	227	557
29	230	537
30	232	518
31	235	500
32	238	483
33	240	466
34	242	449
35	244	433
36	246	419
37	248	405
38	251	393
39	254	381
40	256	369
41	258	357
42	260	345
43	262	334
44	265	323
45	266	313
46	268	302
47	270	293
48	272	284
49	274	274
50	276	265
51	278	257
52	281	249
53	283	241
54	285	233
55	314	247
56	317	239
57	319	231
58	321	223
59	323	215
60	325	207
61	328	201
62	330	194
63	331	186
64	333	179
65	335	172
66	337	166
67	338	159
68	340	153
69	344	147
70	347	141
71	349	135
72	351	130
73	353	124
74	356	118
75	359	113
76	362	108
77	366	103
78	368	98
79	372	93
80	375	88
81	377	82
82	379	77
83	381	72
84	384	67
85	386	62
86	390	58
87	392	53
88	394	48
89	397	44
90	400	39
91	403	35
92	406	30
93	409	26
94	412	21
95	415	17
96	418	12
97	427	8
98	430	4
99	432	0
